21356	25888	4119	835	26217	12914	25773	4333	19169	13274	1582	20138	21452	19602	13714	6232	832	17056	3761														
22066	16229	24956	21767	23975	17497	12444	2610	9472	25779	21329	3079	848	590	10949	14880	583	8878	16766	425	660	24860											
21199	6178	2077	22463	3922	6481	12444	2610	534	2462	23386	1264	583	10617	21308	21579	8878	9194															
24912	21356	4119	835	12914	22258	4333	19169	13274	20138	21452	19602	13714	11245	6232	832	17056	3761															
11732	21356	15420	25893	4119	10654	18185	835	24592	13768	12420	7668	22497	14511	19169	3152	13714	6232	832	9415	11613	3064	17041										
2130	19978	18137	25180	371	10995	10614	2230	8332	18045	18189	14635	20816	997																			
2599	21356	4119	835	13768	15143	12420	10433	14015	7668	19169	17845	13714	6232	832	9415	3064	16983															
13291	3591	4186	18337	24861	10812	5495	5709	5745	14040	3144	5756																					
24233	20524	21607	18723	7808	752	6694																										
4586	2130	19978	14363	9327	20892	15985	12692	9284	18045	2957	16161	16257	21038	19604	18189	14635	20816															
358	4685	7988	835	13768	12420	4720	17040	12364	18216	13714	1287	832	3064	16983	24103																	
17901	18245	2130	18116	19978	5759	5709	5745	14040	17874	16625	18045	18063	5735	5756	18189	20816																
2130	7775	21412	6483	1737	23498	10758	15129	24203	24017	21538	14806	18045	989	24081	26036	601	22301	20816														
2130	23699	19978	20907	2077	12444	2610	534	16625	16692	978	628	18045	8878	700	18189	20816																
21356	4119	835	12420	19169	13714	6232	832	9415																								
25130	6481	12444	2610	18247	20839	4840	583	8878	21296	21737	19428	20294	500	10826																		
4152	20613	10917	3708	10508	24977	23785	14833	16905	25975	8863																						
3901	11238	4586	2130	19978	14363	4265	10290	17806	20795	12692	9284	18045	16161	19604	18189	14635	20816															
19502	21024	13138	13141	19696	19917	21047	14140	162	26231	17878	11283	17497	12444	2610	4125	22485	22302	9183	25779	186	23339	25472	18869	3079	848	12683	14880	10724	16766	14187		
15873	1257	20489	2215	1201	15358	16199	12444	2610	4479	14954	2575	7945	14394	12654	1140	583	18798	8878	18662	5535	16507	12437										
21275	21274	21276	10103	24296	21395	24506																										
22606	10464	4152	24802	20982	13500	23975	25763	5391	11373	3708	10508	19786	23785	1371	12423	8863	425															
4773	6999	4961	14517	20383	19819	12420	7668	20382	11139	2806	7945	7643	4548	857	18662																	
14055	7988	6562	17109	7814	24530	15985	3753	7764	18216	666	14394	18964	8788	7763	4006	16257	24103															
213	7988	6010	777	18241	8246	17663	20937	7764	18216	666	4552	22661	17920	21352	24103																	
13291	4685	7988	10407	10360	4720	24861	10812	11462	18216	666	3144	6047	24103																			
21041	7988	7814	24596	12755	16014	2019	16848	23385	7764	18216	20983	24190	91	7832	6591	24103	10889															
15262	25830	2130	2050	5482	7775	21269	6923	7196	25458	11153	7739	18045	989	26036	5363	20816																
23984	1747	17497	12444	2610	1648	22485	2997	25779	3079	17531	848	14880	583	8878	16766																	
8031	16199	8130	8271	8853	23342	25148	753	7624																								
21356	18114	18095	4119	10835	956	26214	19169	16346	8834	6232	22022	14377	13327																			
22674	10698	17497	12444	22997	2610	23995	25779	13600	3079	848	14880	4330	8878	16766	10275	23997	26228															
16229	7924	12444	2610	10845	25779	23339	16799	12654	24190	583	21308	8878	23682	7832	19261	16507																
23106	21127	26217	4846	1767	7903	7905	7907	7910	7912	7919	7920	14806	13872	19332																		
5529	25581	3019	5954	22870	3922	6481	12444	2610	2538	21183	12590	5745	12880	583	8878	9194																
20060	20381	835	21454	16288	21528	23952	273	13827	21452	481	13714	832	6434	17056	3307																	
7979	15056	25233	10654	835	21454	12420	14015	26108	14744	21452	13714	832	17056	3064	12767	3307	21807															
21356	4119	10574	835	13768	22273	4919	12420	23235	7668	15985	2465	19169	22290	13779	13714	6232	832	9415	2957	3064	467											
2599	21356	4119	835	6785	12420	19169	17845	13714	6232	832	9415																					
13291	4685	7988	4720	14427	24861	6082	10812	18216	666	3144	17160	2950	24103																			
24207	20633	10916	9246	12240	613	200	9567	554	16938	16557	12193	11631	20309	584																		
13291	17813	23038	21552	21706	20082	21171	14921	24861	26108	10812	21168	13299	3144	14857	19332	16279	1258	16102														
